Date,Open,High,Low,Close,Volume
2023-05-15,542000,546000,530000,545000,211398
2023-05-16,549000,552000,538000,540000,178059
2023-05-17,538000,560000,534000,560000,185024
2023-05-18,563000,564000,555000,562000,144616
2023-05-19,560000,561000,552000,552000,156070
2023-05-22,553000,562000,547000,560000,154752
2023-05-23,564000,579000,563000,574000,243135
2023-05-24,574000,585000,572000,585000,257248
2023-05-25,579000,591000,576000,583000,199907
2023-05-26,580000,583000,575000,578000,113909
2023-05-30,583000,586000,575000,580000,175179
2023-05-31,581000,604000,581000,599000,610868
2023-06-01,595000,597000,584000,584000,204800
2023-06-02,588000,591000,586000,588000,155137
2023-06-05,590000,595000,587000,594000,198113
2023-06-07,597000,605000,597000,604000,498286
2023-06-08,601000,602000,588000,591000,286608
2023-06-09,597000,610000,597000,609000,449434
2023-06-12,614000,614000,603000,612000,231274
2023-06-13,612000,613000,604000,607000,194004
2023-06-14,610000,614000,588000,589000,300834
2023-06-15,594000,600000,581000,585000,340106
2023-06-16,591000,592000,582000,588000,271773
2023-06-19,579000,580000,558000,561000,900555
2023-06-20,561000,568000,555000,561000,337706
2023-06-21,563000,565000,556000,558000,267829
2023-06-22,556000,575000,556000,569000,319585
2023-06-23,570000,574000,561000,563000,176724
2023-06-26,562000,567000,559000,564000,136695
2023-06-27,561000,562000,556000,561000,214674
2023-06-28,561000,566000,545000,547000,300378
2023-06-29,548000,561000,547000,550000,230986
2023-06-30,551000,556000,548000,553000,173743
2023-07-03,557000,576000,556000,573000,290579
2023-07-04,573000,574000,564000,569000,252640
2023-07-05,569000,571000,564000,567000,159456
2023-07-06,569000,572000,562000,565000,200896
2023-07-07,570000,574000,556000,562000,287258
2023-07-10,564000,564000,550000,550000,302475
2023-07-11,553000,557000,547000,550000,257343
2023-07-12,538000,539000,530000,534000,1969703
2023-07-13,535000,544000,534000,542000,503736
2023-07-14,544000,546000,538000,542000,324259
2023-07-17,541000,542000,533000,538000,248574
2023-07-18,539000,553000,534000,549000,557507
2023-07-19,550000,564000,546000,560000,494088
2023-07-20,560000,563000,551000,556000,319843
2023-07-21,549000,574000,543000,569000,508472
2023-07-24,573000,602000,568000,597000,1074661
2023-07-25,607000,610000,585000,594000,756355
2023-07-26,595000,620000,560000,580000,1706916
2023-07-27,577000,577000,535000,540000,1180424
2023-07-28,540000,552000,540000,542000,561173
2023-07-31,545000,562000,545000,560000,378890
2023-08-01,562000,568000,550000,557000,406755
2023-08-02,551000,559000,543000,544000,273058
2023-08-03,541000,551000,539000,543000,299858
2023-08-04,545000,548000,540000,540000,164545
2023-08-07,540000,542000,513000,514000,549808
2023-08-08,517000,535000,517000,525000,328379
2023-08-09,530000,553000,528000,553000,485515
2023-08-10,549000,560000,543000,556000,344272
2023-08-11,559000,559000,543000,547000,227442
